식도락_관광.1,쇼핑.2,자연경관_감상.1,업무수행.1,고궁_역사유적_방문.1,공연_민속행사_축제참가_및_관람,전통문화체험,테마파크.1,유흥_오락.1,박물관_전시관_방문,연수_교육_연구,스포츠활동,휴양_휴식,시티투어_버스_이용,뷰티관광.1,의료관광,레포츠활동,시찰.산업시설등.
63,256,57,61,57,29,9,13,17,17,13,37,16,11,9,5,5,1
76,295,67,79,55,17,12,17,15,22,12,21,17,11,8,2,6,0
94,337,123,88,98,57,10,22,20,8,14,4,13,9,6,3,7,3
99,391,135,61,105,30,11,20,23,14,14,7,22,16,16,3,16,2
134,336,142,107,73,32,10,24,38,23,14,6,19,13,4,5,5,4
102,405,132,50,77,18,20,30,24,20,21,6,15,16,6,4,12,6
127,363,133,72,49,60,16,75,42,17,29,4,26,8,6,3,10,2
159,380,215,61,64,27,13,67,59,11,12,5,12,17,13,2,2,2
98,389,97,82,79,39,27,45,25,17,12,3,17,14,11,8,14,0
100,392,148,102,107,22,22,29,22,9,26,11,18,12,17,6,15,8
84,282,140,94,85,33,20,26,26,13,16,9,22,15,12,15,5,5
97,306,101,28,55,33,26,32,36,14,28,39,24,20,11,8,12,2
93,258,164,90,58,30,13,29,22,12,11,32,22,12,5,4,6,4
106,338,125,67,85,37,13,50,29,14,17,60,25,8,18,4,10,1
189,365,209,80,85,46,22,35,35,15,11,5,14,27,16,7,11,5
166,380,200,86,124,60,18,44,41,35,12,7,23,33,19,7,14,5
214,365,156,64,122,63,30,45,49,14,26,3,22,30,9,8,9,8
110,160,90,47,49,21,18,14,18,16,26,4,10,17,7,5,11,7
67,135,63,47,41,16,18,25,32,21,13,8,11,18,4,6,18,6
129,231,126,51,64,58,31,37,36,42,21,5,24,26,2,8,19,3
172,332,118,63,98,48,23,29,47,31,14,2,18,20,16,9,13,6
212,361,183,68,99,60,37,53,37,37,15,3,23,17,9,5,15,7
162,356,159,78,87,35,15,17,44,16,15,5,14,16,12,6,11,7
154,326,103,41,74,53,26,35,41,19,27,51,31,14,9,6,18,6
111,265,60,58,49,17,11,23,27,16,9,39,11,7,8,4,4,2
132,249,57,45,51,31,24,22,32,17,11,26,16,8,7,2,10,3
166,288,88,70,78,43,21,36,35,24,8,6,13,10,10,6,7,4
175,312,119,44,72,30,19,40,49,34,7,3,33,13,8,4,6,5
207,316,93,66,90,26,16,40,33,21,18,2,6,13,2,5,7,6
161,324,171,60,86,37,14,27,36,36,22,5,16,13,4,5,19,5
224,384,147,33,91,41,28,44,38,31,18,5,22,13,7,2,9,0
175,276,136,40,106,83,35,54,43,39,27,2,21,14,13,2,10,5
190,319,167,42,76,37,18,23,29,27,2,3,23,7,5,6,14,2
169,350,131,47,117,40,26,30,24,25,6,7,15,11,10,6,20,2
147,285,114,52,70,34,13,20,23,22,15,6,16,17,10,1,3,5
126,291,110,33,58,50,22,22,44,22,29,32,15,9,6,1,10,5
213,426,108,54,72,57,23,34,29,26,33,78,21,9,8,1,9,0
312,428,98,68,72,58,25,10,44,12,32,32,18,5,3,8,6,3
265,416,131,69,80,32,26,27,38,24,18,11,15,5,11,11,8,10
198,297,132,90,101,16,20,33,33,26,16,9,13,12,12,11,10,22
184,267,126,60,89,37,20,32,43,10,16,6,9,7,14,7,15,2
191,263,117,51,104,30,28,29,49,31,22,5,20,9,6,10,9,4
185,268,99,76,83,32,25,35,49,23,22,14,22,6,14,5,17,11
234,309,118,70,87,40,28,37,61,19,22,6,23,6,11,14,7,2
229,295,107,102,96,34,20,24,44,18,33,6,30,13,7,8,8,6
250,291,164,79,149,39,21,31,48,13,7,9,16,7,6,10,17,6
229,328,102,78,110,48,32,19,42,13,24,5,17,14,10,5,9,7
227,324,97,38,105,67,27,33,56,25,36,50,18,16,6,11,12,4
316,233,66,146,44,38,23,10,18,7,26,37,12,7,8,6,2,7
356,221,104,89,53,24,23,17,18,20,10,75,11,10,9,7,5,1
413,364,169,151,102,43,44,43,21,22,16,6,13,13,16,12,9,7
382,300,199,197,96,27,42,21,16,27,20,6,8,14,10,14,11,3
396,278,177,125,112,44,38,22,23,12,10,9,8,8,7,9,8,1
381,309,201,107,128,45,36,27,25,12,15,8,14,10,8,10,5,1
402,279,172,99,119,53,32,34,30,41,16,5,14,15,8,9,7,0
464,314,136,142,123,120,28,34,25,18,15,18,6,7,7,7,9,1
430,318,157,131,110,44,34,16,19,28,16,8,8,10,11,4,7,4
483,350,219,187,131,47,36,21,29,18,31,7,16,15,8,5,13,5
413,357,172,123,121,50,38,28,28,19,20,7,19,16,9,18,1,4
391,339,169,117,104,59,42,38,30,19,25,32,13,14,23,9,4,4
