식도락_관광,쇼핑,자연경관_감상,업무수행,고궁_역사_유적지_방문,공연_민속_행사_축제_관람_및_참가,전통문화체험,놀이공원_테마파크,유흥_오락,박물관_전시관 방문,연수_교육_연구,스포츠_활동,기타,휴양_휴식,시티투어버스_이용,뷰티관광,드라마_영화_촬영지_방문,의료관광,레포츠_활동,시찰,사례수,재방문,만족도
1484,453,185,490,124,165,44,17,94,30,34,17,54,13,34,57,37,13,10,3,3358,No,low
2130,1694,626,196,169,163,38,76,54,49,71,33,22,27,16,27,11,27,16,5,5447,Yes,normal
230,200,114,40,44,28,26,26,9,10,4,24,2,9,6,8,4,1,4,0,789,Yes,low
28,81,41,27,20,9,13,10,3,3,2,6,1,1,2,2,2,0,3,0,251,No,normal
355,278,183,39,89,72,69,50,9,19,5,39,3,18,14,5,24,5,8,3,1286,Yes,low
31,259,95,16,54,24,15,21,12,6,5,11,2,8,4,5,7,6,2,5,588,No,low
54,90,103,15,42,14,20,21,5,8,9,10,0,5,7,3,3,1,1,2,415,No,normal
17,20,25,29,30,4,8,1,6,4,1,4,4,2,3,0,0,0,1,1,160,Yes,high
97,106,140,207,226,19,55,12,33,32,12,22,23,21,13,4,3,1,12,6,1046,Yes,high
27,28,27,25,45,6,10,2,5,5,1,4,5,4,2,1,0,0,6,0,205,No,high
10,13,16,37,27,5,5,1,6,4,1,4,3,1,1,0,0,0,1,0,135,Yes,high
17,5,9,44,15,2,7,1,4,4,2,1,3,1,2,0,0,0,2,1,121,No,normal
13,9,12,24,24,5,5,1,1,4,1,1,1,2,1,0,0,0,1,0,106,No,normal
33,53,35,51,30,4,5,6,4,5,7,11,4,4,3,2,0,19,4,2,285,No,high
14,44,24,61,25,7,7,5,4,6,12,4,3,3,4,1,1,28,1,1,252,Yes,normal
2,12,10,38,14,2,1,2,2,2,4,0,0,0,3,0,0,0,1,1,96,Yes,high
37,68,58,21,62,10,25,22,3,4,4,5,1,3,6,1,7,1,1,0,336,Yes,high
47,53,31,29,23,8,12,6,2,4,4,7,0,2,2,0,2,1,1,0,233,No,normal
120,94,82,30,45,7,19,15,13,18,15,3,0,5,4,1,6,1,2,3,484,Yes,normal
26,42,14,12,4,5,4,5,1,3,5,1,0,1,2,2,1,5,1,1,133,No,normal
56,64,112,179,127,33,35,10,16,21,24,10,16,10,14,3,1,3,4,1,741,No,normal
