기간,휴양휴식,유흥_오락,뷰티관광,쇼핑.1,음식_미식탐방,자연풍경감상,역사_문화유적,패션_유행_.등_.세련된_문화,K.POP_한류스타_팬미팅,경제적인_여행비용,유흥_놀이시설,숙박시설_편리한.교통,이미용_서비스,기후_뚜렷한_사계절
201401,62,59,22,511,303,299,166,128,89,45,80,22,23,70
201402,58,53,32,577,324,334,204,101,49,69,65,32,23,57
201403,63,83,34,666,411,453,251,194,95,86,90,23,20,59
201404,76,78,32,778,378,570,266,187,57,102,65,37,30,58
201405,59,103,30,776,421,507,325,209,83,121,90,28,26,32
201406,71,86,25,706,419,499,282,202,52,84,114,22,20,40
201407,107,123,38,759,528,549,243,373,57,91,127,21,36,54
201408,76,141,38,879,417,693,291,274,68,154,121,33,21,34
201409,77,89,26,816,490,493,243,199,74,85,127,22,15,55
201410,75,87,36,852,414,610,255,185,50,90,54,36,44,88
201411,73,77,45,673,422,517,289,146,56,88,61,28,27,70
201412,91,122,29,700,410,426,216,165,60,110,119,14,20,114
201501,76,84,19,632,364,464,251,171,64,136,112,25,11,52
201502,68,101,42,690,416,473,265,197,48,111,153,30,27,76
201503,68,147,42,926,553,603,430,233,89,88,111,21,32,98
201504,94,131,42,969,526,677,439,338,91,125,158,34,30,116
201505,83,135,33,941,574,579,323,392,106,91,129,39,42,88
201506,47,89,18,435,326,283,187,160,70,33,77,24,17,38
201507,59,95,19,340,186,269,144,127,65,46,48,27,15,56
201508,96,128,24,599,436,399,277,229,119,89,127,35,9,92
201509,74,172,54,710,519,490,355,291,83,106,101,37,18,90
201510,89,131,43,897,609,577,340,353,113,143,101,73,35,119
201511,88,147,49,803,510,510,307,257,70,116,83,51,45,112
201512,134,174,49,755,496,426,224,297,89,108,84,45,50,154
201601,50,127,30,533,354,285,160,187,39,109,86,32,19,74
201602,66,117,43,552,371,291,155,217,69,116,72,33,17,71
201603,77,140,34,667,404,350,253,266,96,87,79,31,31,108
201604,107,163,42,675,411,438,246,253,63,135,95,31,23,95
201605,61,142,18,733,487,418,243,294,76,98,87,28,11,64
201606,64,130,23,766,509,559,363,203,85,77,75,31,10,62
201607,119,233,17,726,573,526,260,351,117,95,125,25,24,57
201608,77,164,30,749,456,547,336,285,145,96,98,22,17,60
201609,122,146,28,708,425,475,287,229,54,111,78,21,10,68
201610,96,159,45,757,503,520,309,292,68,95,79,33,28,115
201611,86,128,44,611,419,387,230,220,68,90,75,29,27,70
201612,88,180,29,609,439,399,232,245,66,100,72,31,17,100
201701,121,159,39,912,648,451,174,267,97,126,151,50,30,140
201702,156,213,16,928,807,506,247,315,143,105,121,30,20,100
201703,100,154,60,832,785,494,269,304,138,124,96,45,40,91
201704,91,138,43,649,582,437,256,287,80,149,110,62,22,108
201705,73,166,49,610,528,353,189,250,102,123,106,56,36,65
201706,81,180,34,620,555,368,222,282,104,137,105,52,31,47
201707,81,166,31,604,526,347,225,297,138,125,124,52,29,24
201708,81,192,54,679,569,334,212,268,123,146,124,61,38,58
201709,93,141,43,622,565,438,220,291,129,111,83,43,37,91
201710,77,159,38,684,573,519,269,361,115,143,100,54,33,181
201711,80,138,49,714,554,374,231,307,154,159,79,78,31,144
201712,94,176,38,712,580,413,229,302,160,122,93,85,31,213
201801,145,132,77,678,662,364,97,129,103,63,77,66,40,37
201802,120,137,71,751,709,410,139,115,78,76,78,53,27,49
201803,132,184,95,986,906,447,194,215,136,127,90,86,44,53
201804,128,171,80,890,821,587,189,158,135,89,75,85,41,42
201805,159,187,82,777,745,445,224,178,130,109,79,74,52,43
201806,243,206,108,841,657,511,217,194,130,122,102,85,67,34
201807,242,227,92,807,729,464,211,187,115,92,135,70,45,32
201808,254,245,115,968,913,467,230,203,223,99,115,78,57,15
201809,243,193,117,847,793,488,223,208,99,65,66,76,51,32
201810,268,227,108,1050,951,674,234,213,146,103,88,75,46,72
201811,206,171,105,951,842,537,239,181,121,79,74,69,54,55
201812,244,217,120,965,807,569,238,180,114,72,82,75,58,79
