"","¿ÁπÊπÆ","bin","bool"
"1","≥Ù¿Ω",1,TRUE
"2","≥Ù¿Ω",1,TRUE
"3","≥Ù¿Ω",1,TRUE
"4","≥∑¿Ω",0,FALSE
"5","≥Ù¿Ω",1,TRUE
"6","≥∑¿Ω",0,FALSE
"7","≥∑¿Ω",0,FALSE
"8","≥∑¿Ω",0,FALSE
"9","≥Ù¿Ω",1,TRUE
"10","≥∑¿Ω",0,FALSE
"11","≥Ù¿Ω",1,TRUE
"12","≥Ù¿Ω",1,TRUE
"13","≥∑¿Ω",0,FALSE
"14","≥∑¿Ω",0,FALSE
"15","≥∑¿Ω",0,FALSE
"16","≥∑¿Ω",0,FALSE
"17","≥∑¿Ω",0,FALSE
"18","≥Ù¿Ω",1,TRUE
"19","≥Ù¿Ω",1,TRUE
"20","≥Ù¿Ω",1,TRUE
"21","≥∑¿Ω",0,FALSE
"22","≥Ù¿Ω",1,TRUE
"23","≥Ù¿Ω",1,TRUE
"24","≥Ù¿Ω",1,TRUE
"25","≥∑¿Ω",0,FALSE
"26","≥Ù¿Ω",1,TRUE
"27","≥∑¿Ω",0,FALSE
"28","≥Ù¿Ω",1,TRUE
"29","≥Ù¿Ω",1,TRUE
"30","≥Ù¿Ω",1,TRUE
"31","≥∑¿Ω",0,FALSE
"32","≥∑¿Ω",0,FALSE
"33","≥∑¿Ω",0,FALSE
"34","≥Ù¿Ω",1,TRUE
"35","≥∑¿Ω",0,FALSE
"36","≥Ù¿Ω",1,TRUE
"37","≥∑¿Ω",0,FALSE
"38","≥∑¿Ω",0,FALSE
"39","≥∑¿Ω",0,FALSE
"40","≥∑¿Ω",0,FALSE
"41","≥Ù¿Ω",1,TRUE
"42","≥Ù¿Ω",1,TRUE
"43","≥Ù¿Ω",1,TRUE
"44","≥Ù¿Ω",1,TRUE
"45","≥∑¿Ω",0,FALSE
"46","≥Ù¿Ω",1,TRUE
"47","≥∑¿Ω",0,FALSE
"48","≥Ù¿Ω",1,TRUE
"49","≥Ù¿Ω",1,TRUE
"50","≥∑¿Ω",0,FALSE
"51","≥∑¿Ω",0,FALSE
"52","≥Ù¿Ω",1,TRUE
"53","≥Ù¿Ω",1,TRUE
"54","≥∑¿Ω",0,FALSE
"55","≥∑¿Ω",0,FALSE
"56","≥Ù¿Ω",1,TRUE
"57","≥Ù¿Ω",1,TRUE
"58","≥∑¿Ω",0,FALSE
"59","≥Ù¿Ω",1,TRUE
"60","≥∑¿Ω",0,FALSE
