기간,쇼핑,식도락_관광,자연경관_감상,고궁_역사유적_방문,박물관_전시관.방문,테마파크,업무수행
201401,547,295,167,171,65,44,130
201402,574,304,231,178,96,55,138
201403,693,464,306,292,57,58,179
201404,788,496,359,366,76,63,136
201405,750,532,345,317,73,85,176
201406,776,500,352,300,93,77,132
201407,837,561,372,277,146,126,127
201408,911,597,460,326,124,160,116
201409,795,489,292,246,87,137,149
201410,809,522,356,313,77,83,188
201411,693,413,295,267,71,72,183
201412,726,408,278,223,100,111,72
201501,654,393,321,210,77,78,176
201502,817,504,288,314,136,112,97
201503,932,618,394,357,106,92,142
201504,1051,691,497,371,139,109,164
201505,971,648,407,382,147,135,147
201506,409,329,201,159,57,28,116
201507,342,221,186,131,71,40,108
201508,640,446,278,198,136,89,120
201509,802,587,289,286,137,97,153
201510,962,637,369,368,132,137,183
201511,843,523,349,327,108,53,164
201512,783,501,285,275,108,98,95
201601,587,379,179,196,80,67,101
201602,608,412,186,159,69,81,94
201603,727,471,247,249,110,101,134
201604,753,516,317,257,117,90,124
201605,789,533,271,317,107,112,137
201606,813,519,367,294,134,92,143
201607,945,658,330,234,116,188,104
201608,856,544,338,299,172,166,87
201609,808,553,366,273,93,87,117
201610,818,602,313,300,105,100,130
201611,648,476,272,203,87,94,115
201612,735,463,253,217,74,76,80
201701,1015,694,313,248,113,108,142
201702,1031,870,290,260,73,90,147
201703,966,772,356,288,94,103,168
201704,796,591,342,259,101,96,200
201705,708,540,279,245,73,73,141
201706,685,558,269,257,84,84,135
201707,703,586,227,247,85,94,154
201708,822,673,263,266,83,91,205
201709,773,701,276,237,81,68,212
201710,818,709,392,346,103,81,209
201711,835,696,282,292,70,83,175
201712,875,667,288,290,87,115,100
201801,926,719,447,331,140,155,204
201802,1067,803,620,454,216,198,163
201803,1391,1108,726,570,253,234,255
201804,1297,967,773,550,271,230,340
201805,1201,905,765,572,276,226,243
201806,1281,955,783,667,288,266,221
201807,1251,961,744,635,327,324,203
201808,1375,1082,791,651,326,346,239
201809,1272,998,769,593,278,236,243
201810,1500,1152,947,735,329,227,324
201811,1334,1052,798,636,245,255,248
201812,1346,1045,796,625,261,329,219
